기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강남구,3.7809705E7,10.5
강동구,8874582.0,2.5
강북구,5605505.0,1.6
강서구,1.4251685E7,4.0
관악구,1.0883988E7,3.0
광진구,1.2780309E7,3.5
구로구,1.1418725E7,3.2
금천구,5063260.0,1.4
노원구,1.0326093E7,2.9
도봉구,5454636.0,1.5
동대문구,1.0254263E7,2.8
동작구,1.0894459E7,3.0
마포구,2.1290991E7,5.9
서대문구,1.5148469E7,4.2
서초구,2.9087029E7,8.1
성동구,1.1509872E7,3.2
성북구,9424677.0,2.6
송파구,2.2014442E7,6.1
양천구,6585964.0,1.8
영등포구,2.0269035E7,5.6
용산구,1.7780459E7,4.9
은평구,6004898.0,1.7
종로구,2.4839354E7,6.9
중구,2.656635E7,7.4
중랑구,6150042.0,1.7
